"","Kingdom","Phylum","Class","Order","Family","Genus","Species","latrineAbun","controlAbun"
"ASV_21007","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,34.094,9.496
"ASV_21008","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,23.92
"ASV_21009","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,92.478,0
"ASV_21010","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,14.24,0
"ASV_21011","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,0
"ASV_21012","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,44.814,0.762
"ASV_21013","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,6.9,0
"ASV_21014","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,1.26
"ASV_21015","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,9.336,0
"ASV_21016","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,1.104,0
"ASV_21017","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,17.04,0
"ASV_21018","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,18.586
"ASV_21019","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,21.532
"ASV_21020","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,1.304
"ASV_21021","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,0
"ASV_21022","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,8.79,0
"ASV_21023","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,34.732,0
"ASV_21024","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,2.948,0
"ASV_21025","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,15.014,0
"ASV_21026","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,3.796,0
"ASV_21027","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,1.374,0
"ASV_21028","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,79.638,0
"ASV_21029","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,36.878,1.51
"ASV_21030","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,19.43,0
"ASV_21031","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,5.268,0
"ASV_21032","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,5.072,0
"ASV_21033","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,0
"ASV_21034","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,18.122,0
"ASV_21035","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,18.756,0
"ASV_21036","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,0
"ASV_21037","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,1.426,0
"ASV_21038","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,0
"ASV_21039","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,2.43,0
"ASV_21040","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,7.312
"ASV_21041","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,28.394
"ASV_21042","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,4.342
"ASV_21043","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,2.322,0
"ASV_21044","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,3.816
"ASV_21045","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,0
"ASV_21046","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,1.82
"ASV_21047","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,0.794
"ASV_21048","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,0.92
"ASV_21049","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,40.438,0
"ASV_21050","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,14.948,0
"ASV_21051","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,2.456
"ASV_21052","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0.88,1.606
"ASV_21053","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,3.468,0
"ASV_21054","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,0
"ASV_21055","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,0,0.204
"ASV_21056","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,8.37,0
"ASV_21057","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21058","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21059","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis","Incertae_Sedis",NA,2.964,0.73
"ASV_21060","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21061","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Incertae_Sedis","Incertae_Sedis",NA,18.998,0
"ASV_21062","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Incertae_Sedis","Incertae_Sedis",NA,0,1.448
"ASV_21063","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21064","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21065","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0.764,0
"ASV_21066","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,3.09,0
"ASV_21067","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21068","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0.482
