"Species","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"ASV_22891","ASV_22891",0.00879571150097466,0.843289278752437,0.00625463303563616,1.40627139128076,57.2926666666667,76.182,21253,1,0.041,"control_1931-1962_control_LIA-1931",22891,"Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Incertae_Sedis",NA
"ASV_24939","ASV_24939",0.00427449392712551,0.843289278752437,0.00539522659639435,0.792273290241816,31.7366666666667,0.188,23993,1,0.005,"control_1931-1962_control_LIA-1931",24939,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_22403","ASV_22403",0.00382631578947368,0.843289278752437,0.0040176212416186,0.95238340285461,28.304,8.28766666666667,20587,1,0.029,"control_1931-1962_control_LIA-1931",22403,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_4822","ASV_4822",0.00289905533063428,0.843289278752437,0.00103674187956459,2.79631351619731,23.6146666666667,2.13266666666667,24027,0.964363567023161,0.001,"control_1931-1962_control_LIA-1931",4822,"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Incertae_Sedis","Incertae_Sedis",NA
"ASV_974","ASV_974",0.00272604588394062,0.843289278752437,0.00396697945403557,0.687184270936277,20.2,0,19632,0.619650501373052,0.029,"control_1931-1962_control_LIA-1931",974,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_22404","ASV_22404",0.002555330634278,0.843289278752437,0.00346550503972705,0.737361684656291,18.4566666666667,1.435,20588,1,0.018,"control_1931-1962_control_LIA-1931",22404,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_21888","ASV_21888",0.00249397210976158,0.843289278752437,0.00358730600968113,0.695221456722972,18.4086666666667,0.215,19865,1,0.008,"control_1931-1962_control_LIA-1931",21888,"Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea",NA
"ASV_866","ASV_866",0.00242325686009897,0.843289278752437,0.00182439340764659,1.32825346218768,17.2373333333333,11.917,22515,0.593577402797726,0.016,"control_1931-1962_control_LIA-1931",866,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASV_25455","ASV_25455",0.00237864747338432,0.843289278752437,0.00291216461915092,0.816797051149479,16.5166666666667,3.32733333333333,24746,1,0.006,"control_1931-1962_control_LIA-1931",25455,"Bacteria","Pseudomonadota","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA
"ASV_21974","ASV_21974",0.0128654970760234,0.956604948268106,0.0183574965711683,0.700830694759846,0,95.3333333333333,20153,1,0.042,"control_1931-1962_latrine_1931-1962",21974,"Bacteria","Bacillota","Bacilli","Bacillales","Incertae_Sedis","Incertae_Sedis",NA
"ASV_21961","ASV_21961",0.012595951417004,0.956604948268106,0.0178316161157189,0.706383052173296,0,93.336,20139,1,0.033,"control_1931-1962_latrine_1931-1962",21961,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Incertae_Sedis",NA
"ASV_21960","ASV_21960",0.0110793522267206,0.956604948268106,0.0139767915791544,0.792696389867106,0,82.098,20138,1,0.036,"control_1931-1962_latrine_1931-1962",21960,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Incertae_Sedis",NA
"ASV_5988","ASV_5988",0.0092208726945569,0.956604948268106,0.0138313090418354,0.666666666666667,68.3266666666667,0,784,1,0.001,"control_1931-1962_latrine_1931-1962",5988,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Incertae_Sedis",NA
"ASV_21968","ASV_21968",0.00622483130904184,0.956604948268106,0.00826709349532412,0.75296490992422,0,46.126,20146,1,0.035,"control_1931-1962_latrine_1931-1962",21968,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Sporosarcina",NA
"ASV_21975","ASV_21975",0.00494799820062978,0.956604948268106,0.00742199730094467,0.666666666666667,0,36.6646666666667,20154,1,0.027,"control_1931-1962_latrine_1931-1962",21975,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Incertae_Sedis",NA
"ASV_24608","ASV_24608",0.00489455690508322,0.956604948268106,0.00131663231249894,3.71748198689843,36.2686666666667,0,23595,1,0.049,"control_1931-1962_latrine_1931-1962",24608,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae_Sedis",NA
