"","Phylum","treatment","avg_rel_ab","soil","trt_soil"
"56","Bacteroidota","latrine_ab_pro",24.092024291498,"lia","latrine_ab_pro_lia"
"57","Bdellovibrionota","latrine_ab_pro",1.22831309041835,"lia","latrine_ab_pro_lia"
"58","Candidatus_Eremiobacterota","control_ab_pro",2.86843454790823,"lia","control_ab_pro_lia"
"59","Chloroflexota","control_ab_pro",8.16591093117409,"lia","control_ab_pro_lia"
"60","Chloroflexota","latrine_ab_pro",2.63515519568151,"lia","latrine_ab_pro_lia"
"61","Gemmatimonadota","control_ab_pro",2.65943319838057,"lia","control_ab_pro_lia"
"62","Gemmatimonadota","latrine_ab_pro",1.97396761133603,"lia","latrine_ab_pro_lia"
"63","Myxococcota","control_ab_pro",3.60165991902834,"lia","control_ab_pro_lia"
"64","Myxococcota","latrine_ab_pro",2.61551956815115,"lia","latrine_ab_pro_lia"
"65","Planctomycetota","control_ab_pro",6.60699055330634,"lia","control_ab_pro_lia"
"66","Planctomycetota","latrine_ab_pro",2.0091363022942,"lia","latrine_ab_pro_lia"
"67","Pseudomonadota","control_ab_pro",21.8768016194332,"lia","control_ab_pro_lia"
"68","Pseudomonadota","latrine_ab_pro",30.899379217274,"lia","latrine_ab_pro_lia"
"69","Verrucomicrobiota","control_ab_pro",4.50357624831309,"lia","control_ab_pro_lia"
"70","Verrucomicrobiota","latrine_ab_pro",3.01099865047233,"lia","latrine_ab_pro_lia"
