"","Kingdom","Phylum","Class","Order","Family","Genus","Species","sumL","sumC"
"45","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA,179.786,6.414
"46","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","Incertae_Sedis",NA,14147.992,10788.85
"47","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Incertae_Sedis","Incertae_Sedis",NA,14147.992,10788.85
"48","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphocola",NA,13.68,93.962
"49","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum",NA,1166.196,29.158
"50","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Nemorincola",NA,650.624,182.696
"51","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Rurimicrobium",NA,81.94,0
"52","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavipsychrobacter",NA,3.262,2.034
"53","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella",NA,258.524,1.534
"54","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Aurantisolimonas",NA,39.62,65.556
"55","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Panacibacter",NA,8.794,110.164
"56","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Agriterribacter",NA,32.404,0
"57","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Puia",NA,124.416,71.99
"58","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Cnuella",NA,45.396,0
"59","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavihumibacter",NA,0,10.08
"60","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga",NA,94.106,1.926
"61","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flaviaestuariibacter",NA,0,7.678
"62","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter",NA,127.058,497.038
"63","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ilyomonas",NA,6.656,22.33
"64","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Heliimonas",NA,3.946,4.234
"65","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Lacibacter",NA,0,4.07
"66","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Parasediminibacterium",NA,0.906,6.064
"67","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Parasegetibacter",NA,0,32.156
"68","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Parafilimonas",NA,9.742,217.064
"69","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Dinghuibacter",NA,0,0.846
"70","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter",NA,1258.698,994.994
"71","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter",NA,348.782,535.706
"72","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA,1454.938,637.566
"73","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niabella",NA,0,3.65
"74","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Arachidicoccus",NA,4.318,0
"75","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",NA,18.77,37.024
"76","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea",NA,244.228,95.672
"77","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","FFCH9454","Incertae_Sedis",NA,14147.992,10788.85
"78","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Incertae_Sedis","Incertae_Sedis",NA,14147.992,10788.85
"79","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","S15-21","Incertae_Sedis",NA,14147.992,10788.85
"80","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93","Incertae_Sedis",NA,14147.992,10788.85
"81","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","Incertae_Sedis",NA,14147.992,10788.85
"82","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Incertae_Sedis",NA,14147.992,10788.85
"83","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","LiUU-11-161","Incertae_Sedis",NA,14147.992,10788.85
"84","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","CWT_CU03-E12","Incertae_Sedis",NA,14147.992,10788.85
"85","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32",NA,0,0
"86","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Daejeonella",NA,1101.932,84.912
"87","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Arcticibacter",NA,26.972,13.826
"88","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA,669.428,468.956
"89","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pseudopedobacter",NA,0,0
"90","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA,2.012,0
"91","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Albibacterium",NA,167.124,0
"92","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Solitalea",NA,61.574,0
"93","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","Incertae_Sedis",NA,14147.992,10788.85
"94","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","Incertae_Sedis",NA,14147.992,10788.85
"95","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,14147.992,10788.85
"96","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Incertae_Sedis",NA,14147.992,10788.85
"97","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","OLB8",NA,698.752,0
"98","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella",NA,32.202,0
"99","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter",NA,14.97,2.458
"100","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,116.93,1.058
"101","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix",NA,2.368,0
"102","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella",NA,0,0
"103","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,0,0.864
"104","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Fermentimonas",NA,0,0
"105","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas",NA,0,0.178
"106","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella",NA,0,0
"107","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","Incertae_Sedis",NA,14147.992,10788.85
"108","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga",NA,263.804,37.484
"109","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia",NA,342.62,10.284
"110","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","OLB12",NA,103.408,0
"111","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Chryseotalea",NA,655.026,1.392
"112","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Chryseolinea",NA,421.224,43.846
"113","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Hassallia",NA,999.68,2.154
